"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
1-09-20,"Castle Hayne","New Hanover",34.364167,-77.838611,9,1,15.5,NA
1-09-20,"Clemmons Middle","Forsyth",36.026,-80.342,9,1,27.3333333333333,NA
1-09-20,"Durham Armory","Durham",36.0329550008979,-78.904037,9,1,28.3333333333333,NA
1-09-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,9,1,NA,38
1-09-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,9,1,19,31
1-09-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,9,1,24.6666666666667,NA
1-09-20,"Leggett","Edgecombe",35.988278,-77.5843,9,1,10.5,NA
1-09-20,"Linville Falls","Avery",35.972347,-81.933072,9,1,5,NA
1-09-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,9,1,24,NA
1-09-20,"Millbrook School","Wake",35.856111,-78.574167,9,1,23.5,32
1-09-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,9,1,18,NA
1-09-20,"West Johnston Co.","Johnston",35.59095,-78.4622,9,1,27.5,35
1-10-20,"Bryson City","Swain",35.434767,-83.442133,10,1,38,NA
1-10-20,"Castle Hayne","New Hanover",34.364167,-77.838611,10,1,11.5,NA
1-10-20,"Clemmons Middle","Forsyth",36.026,-80.342,10,1,33,NA
1-10-20,"Durham Armory","Durham",36.0329550008979,-78.904037,10,1,34,NA
1-10-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,10,1,NA,45
1-10-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,10,1,24,28
1-10-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,10,1,28,NA
1-10-20,"Leggett","Edgecombe",35.988278,-77.5843,10,1,21.5,NA
1-10-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,10,1,17.5,NA
1-10-20,"Millbrook School","Wake",35.856111,-78.574167,10,1,27.6666666666667,30
1-10-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,10,1,26,NA
1-10-20,"West Johnston Co.","Johnston",35.59095,-78.4622,10,1,26.5,27
1-11-20,"Bryson City","Swain",35.434767,-83.442133,11,1,28,NA
1-11-20,"Castle Hayne","New Hanover",34.364167,-77.838611,11,1,14,NA
1-11-20,"Clemmons Middle","Forsyth",36.026,-80.342,11,1,47.5,NA
1-11-20,"Durham Armory","Durham",36.0329550008979,-78.904037,11,1,44,NA
1-11-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,11,1,0,51
1-11-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,11,1,33,27.5
1-11-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,11,1,43.3333333333333,NA
1-11-20,"Leggett","Edgecombe",35.988278,-77.5843,11,1,22.5,NA
1-11-20,"Linville Falls","Avery",35.972347,-81.933072,11,1,3,NA
1-11-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,11,1,40,NA
1-11-20,"Millbrook School","Wake",35.856111,-78.574167,11,1,31.25,27
1-11-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,11,1,24.6666666666667,NA
1-11-20,"West Johnston Co.","Johnston",35.59095,-78.4622,11,1,38.5,29
1-12-20,"Bryson City","Swain",35.434767,-83.442133,12,1,28.5,NA
1-12-20,"Castle Hayne","New Hanover",34.364167,-77.838611,12,1,9,NA
1-12-20,"Clemmons Middle","Forsyth",36.026,-80.342,12,1,40,NA
1-12-20,"Durham Armory","Durham",36.0329550008979,-78.904037,12,1,31.3333333333333,NA
1-12-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,12,1,13,37
1-12-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,12,1,36.75,30
1-12-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,12,1,42,NA
1-12-20,"Leggett","Edgecombe",35.988278,-77.5843,12,1,12.5,NA
1-12-20,"Linville Falls","Avery",35.972347,-81.933072,12,1,26,NA
1-12-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,12,1,27.5,NA
1-12-20,"Millbrook School","Wake",35.856111,-78.574167,12,1,33,32
1-12-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,12,1,18.3333333333333,NA
1-12-20,"West Johnston Co.","Johnston",35.59095,-78.4622,12,1,24,30
2-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2,56,NA
2-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2,14,NA
2-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2,55,NA
2-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2,41,34
2-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2,12,44
2-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2,38.5,36
2-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2,42.5,NA
2-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2,24,38
2-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2,24,NA
2-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2,45,NA
2-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2,38.25,37.5
2-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2,24,NA
2-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2,38.5,40
2-02-20,"Bryson City","Swain",35.434767,-83.442133,2,2,30,NA
2-02-20,"Castle Hayne","New Hanover",34.364167,-77.838611,2,2,20,NA
2-02-20,"Clemmons Middle","Forsyth",36.026,-80.342,2,2,38,NA
2-02-20,"Durham Armory","Durham",36.0329550008979,-78.904037,2,2,42.6666666666667,26
2-02-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2,9,47
2-02-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2,44,38
2-02-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,2,41.3333333333333,NA
2-02-20,"Leggett","Edgecombe",35.988278,-77.5843,2,2,26,30
2-02-20,"Linville Falls","Avery",35.972347,-81.933072,2,2,14,NA
2-02-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2,2,32.5,NA
2-02-20,"Millbrook School","Wake",35.856111,-78.574167,2,2,52.25,31.5
2-02-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2,40.5,NA
2-02-20,"West Johnston Co.","Johnston",35.59095,-78.4622,2,2,35,34
2-03-20,"Bryson City","Swain",35.434767,-83.442133,3,2,40,NA
2-03-20,"Castle Hayne","New Hanover",34.364167,-77.838611,3,2,8,NA
2-03-20,"Clemmons Middle","Forsyth",36.026,-80.342,3,2,57.5,NA
2-03-20,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2,48.5,19
2-03-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,3,2,NA,46
2-03-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2,46.6666666666667,37.5
2-03-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2,44.5,NA
2-03-20,"Leggett","Edgecombe",35.988278,-77.5843,3,2,24.5,32
2-03-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,3,2,46.5,NA
2-03-20,"Millbrook School","Wake",35.856111,-78.574167,3,2,55.6666666666667,31.5
2-03-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2,35,NA
2-03-20,"West Johnston Co.","Johnston",35.59095,-78.4622,3,2,39.5,38
2-04-20,"Bryson City","Swain",35.434767,-83.442133,4,2,45.5,NA
2-04-20,"Castle Hayne","New Hanover",34.364167,-77.838611,4,2,12,NA
2-04-20,"Clemmons Middle","Forsyth",36.026,-80.342,4,2,50,NA
2-04-20,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2,39.3333333333333,39
2-04-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,4,2,2,44
2-04-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,4,2,46.75,30
2-04-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,4,2,39.5,NA
2-04-20,"Leggett","Edgecombe",35.988278,-77.5843,4,2,28,43
2-04-20,"Linville Falls","Avery",35.972347,-81.933072,4,2,5,NA
2-04-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,4,2,41.5,NA
2-04-20,"Millbrook School","Wake",35.856111,-78.574167,4,2,40.75,37
2-04-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2,17,NA
2-04-20,"West Johnston Co.","Johnston",35.59095,-78.4622,4,2,29,43
2-05-20,"Bryson City","Swain",35.434767,-83.442133,5,2,40.5,NA
2-05-20,"Castle Hayne","New Hanover",34.364167,-77.838611,5,2,26.5,NA
2-05-20,"Clemmons Middle","Forsyth",36.026,-80.342,5,2,38,NA
2-05-20,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2,42,31
2-05-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2,17,37
2-05-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2,37.25,31.5
2-05-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2,33.3333333333333,NA
2-05-20,"Leggett","Edgecombe",35.988278,-77.5843,5,2,20,37
2-05-20,"Linville Falls","Avery",35.972347,-81.933072,5,2,20,NA
2-05-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2,34,NA
2-05-20,"Millbrook School","Wake",35.856111,-78.574167,5,2,47,31.5
2-05-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2,32,NA
2-05-20,"West Johnston Co.","Johnston",35.59095,-78.4622,5,2,32,38
2-06-20,"Bryson City","Swain",35.434767,-83.442133,6,2,60.5,NA
2-06-20,"Castle Hayne","New Hanover",34.364167,-77.838611,6,2,28.5,NA
2-06-20,"Clemmons Middle","Forsyth",36.026,-80.342,6,2,37.5,NA
2-06-20,"Durham Armory","Durham",36.0329550008979,-78.904037,6,2,51,33
2-06-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,2,NA,36
2-06-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,6,2,40.6666666666667,22.5
2-06-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,6,2,37,NA
2-06-20,"Leggett","Edgecombe",35.988278,-77.5843,6,2,36,39
2-06-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,6,2,38,NA
2-06-20,"Millbrook School","Wake",35.856111,-78.574167,6,2,54.3333333333333,33.5
2-06-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,6,2,45,NA
2-06-20,"West Johnston Co.","Johnston",35.59095,-78.4622,6,2,44.5,37
2-07-20,"Bryson City","Swain",35.434767,-83.442133,7,2,31,NA
2-07-20,"Castle Hayne","New Hanover",34.364167,-77.838611,7,2,16.5,NA
2-07-20,"Clemmons Middle","Forsyth",36.026,-80.342,7,2,24,NA
2-07-20,"Durham Armory","Durham",36.0329550008979,-78.904037,7,2,35,30
2-07-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,2,2,34
2-07-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,7,2,28.25,28
2-07-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,7,2,25.6666666666667,NA
2-07-20,"Leggett","Edgecombe",35.988278,-77.5843,7,2,32,31
2-07-20,"Linville Falls","Avery",35.972347,-81.933072,7,2,9,NA
2-07-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,7,2,28.5,NA
2-07-20,"Millbrook School","Wake",35.856111,-78.574167,7,2,41,31.5
2-07-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,7,2,33.5,NA
2-07-20,"West Johnston Co.","Johnston",35.59095,-78.4622,7,2,42.5,NA
